Rom;Fullstendig bookinginformasjon;Gjester;Rengjøring
B01-02;;;
B03-04;;;
B05-06;;;
B07-08;;;
B09-10;;;
Bedehuset A01-03;;;
Bedehuset A04-06;;;
Bedehuset A07-09;;;
Bedehuset A10-12;;;
Bedehuset A13-15;;;
Bedehuset A16-18;;;
Bedehuset A19-21;;;
Bedehuset A22-24 (siste i rekka);;;
Bedehuset A25-27;;;
Bedehuset A28-30;;;
Bedehuset A31-33;;;
Bedehuset A34-36 (Sist i rekken);;;
Bedehuset A37-39;;;
Bedehuset A40-42;;;
Bedehuset A43-45 (Siste i rekken);;;
Bedehuset A46-48;;;
Bedehuset A49-50;;;
Bibelskolen A01-A03;;;
Bibelskolen A04-06;;;
Bibelskolen A07-09;;;
Bibelskolen A10-11 ( bobil);;;
Bibelskolen D01-03 (6m);;;
Bibelskolen D04-06 (10m);;;
Bibelskolen D07-09 (11m);;;
Bibelskolen D10-12 (9,7m);;;
Bibelskolen D13-15 (9,5m);;;
Bibelskolen D16-18 (8m);;;
Bibelskolen D19-21 (6,4m);;;
Bibelskolen D22;;;
Campinghytte 1 seng1;;;
Campinghytte 1 seng2;;;
Campinghytte 1 seng3;;;
Campinghytte 1 seng4;;;
Campinghytte 2 seng1;;;
Campinghytte 2 seng2;;;
Campinghytte 2 seng3;;;
Campinghytte 2 seng4;;;
Campinghytte 3 seng1;;;
Campinghytte 3 seng2;;;
Campinghytte 3 seng3;;;
Campinghytte 3 seng4;;;
Campinghytte 4 seng1;;;
Campinghytte 4 seng2;;;
Campinghytte 4 seng3;;;
Campinghytte 4 seng4;;;
Campinghytte 5 seng1;;;
Campinghytte 5 seng2;;;
Campinghytte 5 seng3;;;
Campinghytte 5 seng4;;;
Egelandsletta A01-03 (8m);;;
Egelandsletta A04-06 (8m) (litt bakke);;;
Egelandsletta A07-09 (8m);;;
Egelandsletta A10-12 (8m);;;
Egelandsletta A13-15 (8m);;;
Egelandsletta A16-18 (8m);;;
Egelandsletta A19-21 (8m) (sist i rekka);;;
Egelandsletta A22-24 (8m);;;
Egelandsletta A25-27 (8m);;;
Egelandsletta A28-30 (8m);;;
Egelandsletta A31-33 (8m);;;
Egelandsletta B01-03 (10m);;;
Egelandsletta B04-06 (10m) (siste i rekka);;;
Egelandsletta B07-09 (10m);;;
Egelandsletta B10-12 (10m);;;
Egelandsletta B13-15 (10m);;;
Egelandsletta B16-18 (8,5m);;;
Egelandsletta B19-21;;;
Egelandsletta C01-03 (8m);;;
Egelandsletta C04-06(8m);;;
Egelandsletta C07-09 (stolpe);;;
Egelandsletta C10-12 (10m);;;
Egelandsletta C13-15 (10m);;;
Egelandsletta C16-17 (10m) (telt)(siste i rek;;;
Egelandsletta C18-20 (5,5m) (siste i rekka);;;
Egelandsletta C21-23 (8m);;;
Egelandsletta C24-26 (8m);;;
Egelandsletta C27-28;;;
Egelandsletta C29-31 (8m);;;
Egelandsletta C32-34 (8m);;;
Egelandsletta C35 (8m);;;
Egelandsletta D01-03 (9m);;;
Egelandsletta D04-06 (9m);;;
Egelandsletta D07-09 (9m);;;
Egelandsletta D10-12 (10m);;;
Egelandsletta D13-15 (10m);;;
Egelandsletta D16-18 (10m);;;
Egelandsletta D19-21 (10m);;;
Egelandsletta D22-24 (8m);;;
Egelandsletta D25-27 (8m);;;
Egelandsletta D28-29 (8m) (telt);;;
Egelandsletta E01-03 (7,5m);;;
Egelandsletta E04-06 (7,5m);;;
Egelandsletta E07-09 (7,5m);;;
Egelandsletta E10 (siste i rekka) (7,5m);;;
Egelandsletta E11-13 (7,5m);;;
Egelandsletta E14 -16 (8m);;;
Egelandsletta E17-19 (8m);;;
Egelandsletta F01-03 (8m);;;
Egelandsletta F04-06 (9m);;;
Egelandsletta F07-09 (8m);;;
Egelandsletta F11 (8m) Litt bakke;;;
Egelandsletta F12 (8m) Siste i rekken;;;
Egelandsletta F13 (8m) Litt bakke;;;
Egelandsletta F14 (8m) Litt bakke;;;
Elvebredden A01-03 (7,5m);;;
Elvebredden A04-06 (8m);;;
Elvebredden A07-09 (6,8m);;;
Elvebredden A10-12 (6m);;;
Elvebredden A13-15 (6,5m);;;
Elvebredden A16-18 (9m);;;
Elvebredden A19-21 (10m);;;
Elvebredden A22-24 (8,5m);;;
Elvebredden A25-27 (8m);;;
Elvebredden A28-30 (8m);;;
Elvebredden A31-33 (7m);;;
Elvebredden A34-36 (9,8m);;;
Elvebredden B01-03 (6,2m);;;
Elvebredden B04-06 (7,8m);;;
Elvebredden B07-09 (9,2m);;;
Elvebredden B10-12 (9,3m);;;
Elvebredden B13-15 (7,9m);;;
Elvebredden B16-17 (5,1m) (lite telt) (siste);;;
Elvebredden B18-20 (5m);;;
Elvebredden B21-B23 (6,9m);;;
Elvebredden B24-26 (7,3m);;;
Elvebredden B27-29 (7,5m);;;
Elvebredden B30-32 (7,8m);;;
Elvebredden B33-35 (7,5m);;;
Elvebredden B36-38 (7 m);;;
Elvebredden C01-03 (13,5m);;;
Elvebredden C04;;;
Elvebredden C06-08 (9,5m);;;
Elvebredden C09-11 (8,4m);;;
Elvebredden C12-14 (8m);;;
Elvebredden C15-17 (9,1m);;;
Elvebredden C19-21 (9m);;;
Elvebredden C22-24 (8 m);;;
Elvebredden C25-27 (7,5m);;;
Elvebredden C28-30 (6,6m);;;
Elvebredden C31-33 (6m);;;
Elvebredden C34-36 TELT (5 m);;;
Elvebredden C37-40 TELT (5 m);;;
Elvebredden C41-42 TELT EKSTRA (5m);;;
Fjellterrassen A01-03 (7,8m);;;
Fjellterrassen A04-06 (8,6m);;;
Fjellterrassen A07-09 (6,6m);;;
Fjellterrassen A10-12 (7m);;;
Fjellterrassen A13-15 (8m);;;
Fjellterrassen A16-18 (10,5m);;;
Fjellterrassen A19-21 (10,4m);;;
Fjellterrassen A22-24 (10,6m);;;
Fjellterrassen A25-27 (10,3m);;;
Fjellterrassen A28-30 (7,1m);;;
Fjellterrassen B01-03 (3,8m) (Grus, ikke telt;;;
Fjellterrassen B04-06(6,8m);;;
Fjellterrassen B07-09 (6,8m);;;
Fjellterrassen B10-12 (7,2m);;;
Fjellterrassen B13-15 (7,2m);;;
Fjellterrassen B16 (7,2m);;;
Fjellterrassen B17 (7,2m);;;
Fjellterrassen B20-23 (6,2m);;;
Fjellterrassen B24-26 (6,1m);;;
Fjellterrassen C01-03 (8,2m);;;
Fjellterrassen C04-06 (7,5m);;;
Fjellterrassen C07-09 (7,2m);;;
Fjellterrassen C10-12 (7m);;;
Fjellterrassen C13-15 (5m);;;
Fjellterrassen C16-18 (4,1m);;;
Fjellterrassen C19-21(5m);;;
Fjellterrassen C22-24 (6,8m);;;
Fjellterrassen C25-27 (7,4m);;;
Fjellterrassen D01-03 (9m);;;
Fjellterrassen D04-06 (7,7m);;;
Fjellterrassen D07-09 (7,7m);;;
Fjellterrassen D10-12 (7,7m);;;
Fjellterrassen D13-15 (7,6m);;;
Fjellterrassen D16-18 (7,5m);;;
Fjellterrassen D19-21 (7,6m);;;
Fjellterrassen D22-24 (8,5m);;;
Fjellterrassen D25-27 (9,1m);;;
Fjellterrassen D28-30 (7,8m);;;
Fjellterrassen D31 (6m) stolpe mot D32;;;
Fjellterrassen D32-34 (5,8m);;;
Fjellterrassen D35-37 (7 m);;;
Fjellterrassen D38-40 (8,8m);;;
Furulunden A01-03 (4m);;;
Furulunden A04-6 (6,4m);;;
Furulunden A07-09 (7,3m);;;
Furulunden A10-12 (6,2m);;;
Furulunden A13-15 (6m);;;
Furulunden A16-18 (5m);;;
Furulunden A19 (5,2m);;;
Furulunden A20 (5,1m);;;
Furulunden B01-03 (5,2m);;;
Furulunden B04-06 (7,5m);;;
Furulunden C01-03 (6,8m);;;
Furulunden C04-06 (8,8m);;;
Furulunden C07-09 (7,8m);;;
Furulunden C10-12 (6,8m);;;
Furulunden C13 (5m) (siste i rekka);;;
Furulunden C14-16 (7,5m);;;
Furulunden C17-19 (7,5m);;;
Furulunden C20-22 (7,5m);;;
Furulunden C23-25 (7,5m);;;
Furulunden C26 (7,5m);;;
Furulunden C27-29 (6,4m) (siste i rekka);;;
Furulunden D01-03 (7,5m);;;
Furulunden D04-06 (7,5m);;;
Furulunden D07-09 (7,5m);;;
Furulunden D10-12 (8,5m);;;
Furulunden D13-15 (7,5m);;;
Furulunden D15-17 (6,5m);;;
Furulunden D18 (5m) (siste i rekka);;;
Furulunden D20 (4,5m);;;
Furulunden D21-24 (6,5m);;;
Furulunden D25-27 (8,5m);;;
Furulunden D28-30 (8,5m);;;
Furulunden D31-33 (8,5m);;;
Furulunden E12-14;;;
Furulunden E15-17;;;
Furulunden E18-20;;;
Furulunden E21-23;;;
Furulunden E24-26;;;
Furutoppen A01-03 (5m) (teltplass);;;
Furutoppen A04-06 (5m) (teltplass);;;
Furutoppen A07-09 (6,5m);;;
Furutoppen A10-12 (10,5m);;;
Furutoppen A13-15 (10m);;;
Furutoppen A16-18 (10m);;;
Furutoppen A19-21 (10m);;;
Furutoppen A22-24 (9,5m);;;
Furutoppen A25-27 (10m);;;
Furutoppen A28;;;
Furutoppen A29;;;
Helsebua1 seng1;;;
Helsebua1 seng2;;;
Helsebua2 seng1;;;
Helsebua2 seng2;;;
Internatet 101 (seng1);;;
Internatet 101 (seng2);;;
Internatet 102 (seng1);;;
Internatet 102 (seng2);;;
Internatet 103 (seng1);;;
Internatet 103 (seng2);;;
Internatet 104 (seng1);;;
Internatet 104 (seng2);;;
Internatet 105 (seng1);;;
Internatet 105 (seng2);;;
Internatet 106 (seng1);;;
Internatet 106 (seng2);;;
Internatet 107 (seng1);;;
Internatet 108 (seng1);;;
Internatet 108 (seng2);;;
Internatet 108 (seng3);;;
Internatet 108 (seng4);;;
Internatet 108 (seng5);;;
Internatet 108 (seng6);;;
Internatet 108 (seng7);;;
Internatet 108 (seng8);;;
Internatet 108 (seng9);;;
Internatet 108 (seng10);;;
Internatet 201 (seng1);;;
Internatet 201 (seng2);;;
Internatet 202 (seng1);;;
Internatet 202 (seng2);;;
Internatet 203 (seng1);;;
Internatet 203 (seng2);;;
Internatet 204 (seng1);;;
Internatet 204 (seng2);;;
Internatet 204 (seng3);;;
Internatet 205 (seng1);;;
Internatet 205 (seng2);;;
Internatet 205 (seng3);;;
Internatet 206 (seng1);;;
Internatet 206 (seng2);;;
Internatet 206 (seng3);;;
Internatet 207 (seng1);;;
Internatet 207 (seng2);;;
Internatet 207 (seng3);;;
Internatet 208 (seng1);;;
Internatet 208 (seng2);;;
Internatet 209 (seng1);;;
Internatet 209 (seng2);;;
Internatet 210 (seng1);;;
Internatet 210 (seng2);;;
Internatet 211 (seng1);;;
Internatet 211 (seng2);;;
Internatet 211 (seng3);;;
Internatet 211 (seng4);;;
Internatet 211 (seng5);;;
Internatet 211 (seng6);;;
Internatet 212 (seng1);;;
Internatet 212 (seng2);;;
Internatet 212 (seng3);;;
Internatet 212 (seng4);;;
Internatet 212 (seng5);;;
Internatet 212 (seng6);;;
Internatet 226 (seng1);;;
Internatet 226 (seng2);;;
Internatet 226 (seng3);;;
Internatet 226 (seng4);;;
Internatet 227 (seng1);;;
Internatet 227 (seng2);;;
Internatet 227 (seng3);;;x
Internatet 228 (seng1);;;
Internatet 228 (seng2);;;
Internatet 228 (seng3);;;x
Internatet 229 (seng3);Sperret room Utleid 03/06/2024 - 03/06/2029;;
Internatet 230 (seng2);;;
Internatet 230 (seng3);;;
Internatet 230 (seng4);;;
Internatet 301 (seng1);;;
Internatet 301 (seng2);;;
Internatet 301 (seng3);;;
Internatet 302 (seng1);;;
Internatet 302 (seng2);;;
Internatet 302 (seng3);;;
Internatet 302 (seng4);;;
Internatet 302 (seng5);;;
Internatet 302 (seng6);;;
Internatet 303 (seng1);;;
Internatet 303 (seng2);;;
Internatet 303 (seng3);;;
Internatet 303 (seng4);;;
Internatet 303 (seng5);;;
Internatet 303 (seng6);;;
Internatet 304 (seng1);;;
Internatet 304 (seng2);;;
Internatet 304 (seng3);;;
Internatet 304 (seng5);;;
Internatet 304 (seng6);;;
Internatet 305 (seng1);;;
Internatet 305 (seng2);;;
Internatet 305 (seng3);;;
Internatet 305 (seng4);;;
Internatet 305 (seng5);;;
Internatet 305 (seng6);;;
Internatet 305 (seng7);;;
Internatet 306 (seng1);;;
Internatet 306 (seng2);;;
Internatet 306 (seng3);;;
Internatet 306 (seng4);;;
Internatet 306 (seng5);;;
Internatet 306 (seng6);;;
Internatet 306 (seng7);;;
Internatet 307 (seng1);;;
Internatet 307 (seng2);;;
Internatet 307 (seng3);;;
Internatet 307 (seng4);;;
Internatet 307 (seng5);;;
Internatet 307 (seng6);;;
Internatet 308 (seng1);;;
Internatet 308 (seng2);;;
Internatet 308 (seng3);;;
Internatet 308 (seng4);;;
Internatet 308 (seng5);;;
Internatet 308 (seng6);;;
Internatet 309 (seng1);;;
Internatet 310 (seng1);;;
Internatet 310 (seng2);;;
Internatet 310 (seng3);;;
Internatet 318 (seng1);;;
Internatet 318 (seng2);;;
Internatet 318 (seng3);;;
Internatet 318 (seng4);;;
Internatet 318 (seng5);;;
Internatet 318 (seng6);;;
Internatet 319 (seng1);;;
Internatet 319 (seng2);;;
Internatet 319 (seng3);;;
Internatet 319 (seng4);;;
Internatet 319 (seng5);;;
Internatet 319 (seng6);;;
Sovesal gutter seng01;;;
Sovesal gutter seng02;;;
Sovesal gutter seng03;;;
Sovesal gutter seng04;;;
Sovesal gutter seng05;;;
Sovesal gutter seng06;;;
Sovesal gutter seng07;;;
Sovesal gutter seng08;;;
Sovesal gutter seng09;;;
Sovesal gutter seng10;;;
Sovesal gutter seng11;;;
Sovesal gutter seng12;;;
Sovesal gutter seng13;;;
Sovesal gutter seng14;;;
Sovesal gutter seng15;;;
Sovesal gutter seng16;;;
Sovesal gutter seng17;;;
Sovesal gutter seng18;;;
Sovesal gutter seng19;;;
Sovesal gutter seng 20;;;
Sovesal jenter seng01;;;
Sovesal jenter seng02;;;
Sovesal jenter seng03;;;
Sovesal jenter seng04;;;
Sovesal jenter seng05;;;
Sovesal jenter seng06;;;
Sovesal jenter seng07;;;
Sovesal jenter seng08;;;
Sovesal jenter seng09;;;
Sovesal jenter seng10;;;
Sovesal jenter seng11;;;
Sovesal jenter seng12;;;
Sovesal jenter seng13;;;
Sovesal jenter seng14;;;
Sovesal jenter seng15;;;
Vårdalen A01- 03 (15,7m);;;
Vårdalen A04- 06(15m);;;
Vårdalen A07- 09 (12,5m);;;
Vårdalen A10- 12 (11,9m);;;
Vårdalen A13- 15 (11,8m);;;
Vårdalen A16- 18 (12,5m);;;
Vårdalen A19- 21 (12,1m);;;
Vårdalen A22- 23 (8m) (telt);;;
Vårdalen B01- 03 (6,7m);;;
Vårdalen B04- 06 (6,5m);;;
Vårdalen B07- 09 (7m);;;
Vårdalen B10- 12 (7,3m);;;
Vårdalen B13- 15 (8,5m);;;
Vårdalen B16- 17 (11,5m- 3,5) ekstra;;;
Vårdalen C01- 03 (10,8m);;;
Vårdalen C04- 06 (11,7m);;;
Vårdalen C07- 08 (6,8m) (telt);;;
Vårdalen D01- 03 (9,3m) (bratt);;;
Vårdalen D04- 06 (9,1m);;;
Vårdalen D07- 09 (9,5m);;;
Vårdalen D10- 12 (9,7m);;;
Vårdalen D13- 15 (8m);;;
Vårdalen D16- 18 (6,6m);;;
Vårdalen D19- 21 (5,5m);;;
Vårdalen D22- 23 (5m) (lite telt);;;
Vårdalen D24- 25 (6m, siste i rekken)(telt);;;
Vårdalen D26- 28 (8m);;;
Vårdalen D29- 31 (7m);;;
Vårdalen D32- 34 (6,3m);;;
Vårdalen D35- 37 (8,7m);;;
Vårdalen D38- 40 (8,8m);;;
Vårdalen D41- 43 (9,1m);;;
Vårdalen D44- 45 (8,5m) (telt);;;
Vårdalen E01- 03 (11m);;;
Vårdalen E04- 06 (10m);;;
Vårdalen E07- 09 (10m);;;
Vårdalen E10- 12 (10m) (siste i rekka);;;
Vårdalen E13- 19 (4m) (sving) (parkering);;;
Vårdalen E20- 22 (12m);;;
Vårdalen E23- 25 (10m);;;
Vårdalen E26- 28 (10m);;;
Vårdalen E29- 31 (10m);;;
Vårdalen E32- 34 (10m);;;
Vårdalen E35;;;
Vårdalen F01- 03 (10m);;;
Vårdalen F04- 06 (9m);;;
Vårdalen F07- 09 (9m);;;
Vårdalen F10- 12 (9m) (siste)(litt bakke);;;
Vårdalen F13- 15 (6,7m) (litt bakke)(telt);;;
Vårdalen F16- 18 (7,3m);;;
Vårdalen F19- 21 (9m);;;
Vårdalen F22- 24 (7,5m) (siste i rekka);;;
Vårdalen F25- 27 (7,5m) (gjerde);;;
Vårdalen F28- 30 (7m) (gjerde);;;
